epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.0542,0.55629,1.06166,1.46406,0.99892,1,0.995,0.93261,0.42418,0.39237,1.09666,0.000662942,0.000662942,0.000662942
2,114.153,0.52977,0.47167,1.34732,0.9991,1,0.995,0.96482,0.37,0.35442,1.11711,0.0013108,0.0013108,0.0013108
3,169.028,0.55063,0.4668,1.36449,0.9901,0.99961,0.9948,0.94622,0.36592,0.33902,1.25562,0.00193981,0.00193981,0.00193981
4,224.943,0.51804,0.42717,1.33336,0.96516,0.995,0.98977,0.95425,0.38554,0.37875,1.1114,0.00191514,0.00191514,0.00191514
5,280.031,0.51273,0.4301,1.36491,0.99957,1,0.995,0.96721,0.35898,0.30669,1.14146,0.00188686,0.00188686,0.00188686
6,335.267,0.51834,0.40742,1.38075,0.99457,1,0.995,0.9634,0.37975,0.32986,1.24233,0.00185857,0.00185857,0.00185857
7,389.444,0.47202,0.37817,1.3342,0.99972,0.995,0.995,0.98534,0.29085,0.26578,1.19133,0.00183029,0.00183029,0.00183029
8,444.333,0.4523,0.36984,1.27124,0.9947,1,0.9944,0.98936,0.29608,0.29162,1.19267,0.001802,0.001802,0.001802
9,500.707,0.44345,0.36949,1.30693,0.99437,1,0.99485,0.9701,0.3206,0.31818,1.15242,0.00177371,0.00177371,0.00177371
10,556.413,0.4404,0.36694,1.28058,0.99458,1,0.9948,0.98274,0.29399,0.30388,1.17284,0.00174543,0.00174543,0.00174543
11,612.202,0.42182,0.34929,1.29031,0.99477,1,0.99485,0.98767,0.25291,0.25953,1.12466,0.00171714,0.00171714,0.00171714
12,668.369,0.40189,0.3297,1.26228,0.99631,1,0.995,0.9853,0.29961,0.26503,1.12318,0.00168886,0.00168886,0.00168886
13,725.492,0.39314,0.32394,1.27021,0.99948,1,0.995,0.98878,0.29158,0.25585,1.14761,0.00166057,0.00166057,0.00166057
14,779.994,0.3976,0.32468,1.27366,0.9997,1,0.995,0.99101,0.25068,0.22543,1.0836,0.00163229,0.00163229,0.00163229
15,834.474,0.3929,0.31796,1.25464,0.99397,0.995,0.9949,0.98903,0.2753,0.25088,1.04824,0.001604,0.001604,0.001604
16,889.256,0.39577,0.31906,1.24966,0.99963,1,0.995,0.98782,0.25008,0.22216,1.03588,0.00157571,0.00157571,0.00157571
17,943.875,0.36859,0.30329,1.23664,0.99918,1,0.995,0.99085,0.23948,0.22089,1.04561,0.00154743,0.00154743,0.00154743
18,997.875,0.38656,0.32175,1.23818,0.99801,1,0.995,0.99143,0.24469,0.22193,1.12069,0.00151914,0.00151914,0.00151914
19,1053.3,0.38078,0.31009,1.27065,0.9997,1,0.995,0.99234,0.25658,0.23332,1.06101,0.00149086,0.00149086,0.00149086
20,1109.29,0.35922,0.30158,1.22204,0.99966,1,0.995,0.99117,0.23172,0.22146,1.06892,0.00146257,0.00146257,0.00146257
21,1163.64,0.36082,0.29619,1.22358,0.99384,1,0.995,0.98811,0.25138,0.23824,1.05022,0.00143429,0.00143429,0.00143429
22,1218.1,0.35087,0.28883,1.20095,0.99945,1,0.995,0.99267,0.23214,0.21465,1.02417,0.001406,0.001406,0.001406
23,1272.88,0.33545,0.28357,1.20493,0.9989,1,0.995,0.99339,0.20988,0.2075,1.04774,0.00137771,0.00137771,0.00137771
24,1328.33,0.33867,0.28641,1.21746,0.99952,1,0.995,0.99455,0.20034,0.20318,1.04121,0.00134943,0.00134943,0.00134943
25,1384.97,0.32577,0.27403,1.19829,0.99952,1,0.995,0.99293,0.22428,0.22498,0.9965,0.00132114,0.00132114,0.00132114
26,1440.97,0.34774,0.28021,1.2338,0.99963,1,0.995,0.99364,0.22008,0.20613,1.02585,0.00129286,0.00129286,0.00129286
27,1496.51,0.33726,0.27213,1.19225,0.99969,1,0.995,0.99388,0.19481,0.18601,0.99386,0.00126457,0.00126457,0.00126457
28,1552.04,0.32719,0.27092,1.20654,0.99949,1,0.995,0.99343,0.20139,0.18969,1.03154,0.00123629,0.00123629,0.00123629
29,1607.01,0.33129,0.26971,1.20888,1,0.99992,0.995,0.99306,0.20064,0.19737,0.9884,0.001208,0.001208,0.001208
30,1662.26,0.31044,0.25803,1.18097,0.99457,1,0.995,0.99434,0.19513,0.18718,1.00461,0.00117971,0.00117971,0.00117971
31,1717.54,0.31345,0.26127,1.19942,0.99949,1,0.995,0.99328,0.213,0.19619,1.02195,0.00115143,0.00115143,0.00115143
32,1772.7,0.31315,0.25922,1.18311,1,0.99935,0.995,0.9927,0.20465,0.18661,1.04033,0.00112314,0.00112314,0.00112314
33,1827.96,0.30809,0.26103,1.18686,0.99969,1,0.995,0.9945,0.19929,0.19154,1.03075,0.00109486,0.00109486,0.00109486
34,1883.2,0.31086,0.25592,1.17911,0.9998,1,0.995,0.99352,0.19532,0.18628,0.99532,0.00106657,0.00106657,0.00106657
35,1938.62,0.3072,0.25272,1.17642,0.99964,1,0.995,0.99357,0.19599,0.18571,1.00795,0.00103829,0.00103829,0.00103829
36,1993.82,0.30311,0.24928,1.20535,0.99973,1,0.995,0.99409,0.19039,0.17782,1.02218,0.00101,0.00101,0.00101
37,2048.52,0.3078,0.25524,1.19988,0.99971,1,0.995,0.99389,0.18652,0.17729,0.99726,0.000981714,0.000981714,0.000981714
38,2103.9,0.29592,0.23826,1.17327,0.99964,1,0.995,0.99318,0.19333,0.17728,1.00922,0.000953429,0.000953429,0.000953429
39,2159.2,0.30486,0.24719,1.18407,0.99966,1,0.995,0.99368,0.18395,0.17487,1.00614,0.000925143,0.000925143,0.000925143
40,2214.55,0.29465,0.23396,1.17568,0.99974,1,0.995,0.9938,0.19448,0.17415,1.0082,0.000896857,0.000896857,0.000896857
41,2269.25,0.29696,0.23798,1.19124,0.99968,1,0.995,0.9938,0.18411,0.1689,1.00098,0.000868571,0.000868571,0.000868571
42,2323.72,0.29683,0.24121,1.18729,0.9991,1,0.995,0.99424,0.18161,0.17232,0.99656,0.000840286,0.000840286,0.000840286
43,2379.61,0.28301,0.2286,1.14683,0.99967,1,0.995,0.99392,0.18304,0.16617,0.99577,0.000812,0.000812,0.000812
44,2434.51,0.27458,0.22965,1.15136,0.99981,1,0.995,0.9944,0.16879,0.15494,0.98839,0.000783714,0.000783714,0.000783714
45,2489.86,0.26787,0.21756,1.15155,0.99972,1,0.995,0.99411,0.16775,0.15574,0.99227,0.000755429,0.000755429,0.000755429
46,2544.72,0.28484,0.23351,1.17581,0.99977,1,0.995,0.99456,0.17165,0.15622,0.99913,0.000727143,0.000727143,0.000727143
47,2599.9,0.27496,0.22519,1.1575,0.99968,1,0.995,0.99418,0.17059,0.16476,0.99286,0.000698857,0.000698857,0.000698857
48,2654.98,0.26835,0.22026,1.1659,0.99987,1,0.995,0.99432,0.16318,0.15349,1.0778,0.000670571,0.000670571,0.000670571
49,2710.35,0.26684,0.21366,1.14463,0.99963,1,0.995,0.9939,0.16285,0.14612,0.98613,0.000642286,0.000642286,0.000642286
50,2765.93,0.26129,0.21595,1.12862,0.99971,1,0.995,0.9944,0.16509,0.15561,0.98165,0.000614,0.000614,0.000614
51,2821.25,0.26025,0.20955,1.13585,0.99969,1,0.995,0.99448,0.1683,0.15609,0.97562,0.000585714,0.000585714,0.000585714
52,2876.25,0.25017,0.20909,1.12583,0.99967,1,0.995,0.99421,0.15461,0.14327,0.99383,0.000557429,0.000557429,0.000557429
53,2931.49,0.25988,0.21116,1.1591,0.99967,1,0.995,0.9943,0.15451,0.14162,0.9903,0.000529143,0.000529143,0.000529143
54,2986.28,0.25675,0.20603,1.14216,0.99967,1,0.995,0.9944,0.15442,0.14302,0.98911,0.000500857,0.000500857,0.000500857
55,3041.39,0.24998,0.19958,1.13797,0.99974,1,0.995,0.99458,0.15774,0.14564,0.99067,0.000472571,0.000472571,0.000472571
56,3096.97,0.24256,0.19532,1.12893,0.99967,1,0.995,0.99433,0.15239,0.14187,1.00133,0.000444286,0.000444286,0.000444286
57,3152.33,0.2484,0.20335,1.14282,0.99967,1,0.995,0.99364,0.14901,0.14052,0.99449,0.000416,0.000416,0.000416
58,3207.73,0.24166,0.19628,1.12752,0.99965,1,0.995,0.99427,0.14653,0.13786,0.97499,0.000387714,0.000387714,0.000387714
59,3263.01,0.24173,0.19625,1.15117,0.99971,1,0.995,0.9944,0.14248,0.12818,0.97826,0.000359429,0.000359429,0.000359429
60,3317.89,0.24222,0.19473,1.1194,0.99967,1,0.995,0.99414,0.13825,0.12742,0.99068,0.000331143,0.000331143,0.000331143
61,3385.36,0.15898,0.14431,0.9771,0.99984,1,0.995,0.99462,0.14299,0.12829,0.974,0.000302857,0.000302857,0.000302857
62,3440.65,0.15582,0.14263,0.98834,0.9997,1,0.995,0.99446,0.14242,0.13179,0.97722,0.000274571,0.000274571,0.000274571
63,3496.01,0.15649,0.14075,0.97085,0.9997,1,0.995,0.9945,0.14405,0.12842,0.97526,0.000246286,0.000246286,0.000246286
64,3550.95,0.15221,0.1395,0.98481,0.99968,1,0.995,0.99428,0.13623,0.12635,0.97035,0.000218,0.000218,0.000218
65,3605.56,0.14837,0.13528,0.98622,0.99967,1,0.995,0.99456,0.1314,0.11922,0.97661,0.000189714,0.000189714,0.000189714
66,3660.93,0.14513,0.13158,0.98242,0.99975,1,0.995,0.9944,0.13434,0.12228,1.0118,0.000161429,0.000161429,0.000161429
67,3716.49,0.14265,0.12912,0.9768,0.99967,1,0.995,0.99462,0.13121,0.11739,0.97399,0.000133143,0.000133143,0.000133143
68,3771.37,0.14348,0.12983,0.97303,0.99969,1,0.995,0.99464,0.13195,0.11905,0.99047,0.000104857,0.000104857,0.000104857
69,3826.5,0.13834,0.12752,0.97203,0.99971,1,0.995,0.99474,0.13002,0.11452,0.97244,7.65714e-05,7.65714e-05,7.65714e-05
70,3881.76,0.13833,0.12694,0.96418,0.99969,1,0.995,0.9947,0.12637,0.11466,0.96758,4.82857e-05,4.82857e-05,4.82857e-05
